device,model,Weight Packing,Memory Usage,batch size,tokens_per_second,run_time_seconds,Avg Prefill Time (s),Max Prefill Time (s),Min Prefill Time (s),Avg Single Deocde Time (s),Min Single Deocde Time (s),Max Single Deocde Time (s),Avg Deocde Time For 999 Tokens (s),Max Deocde Time For 999 Tokens (s),Min Deocde Time For 999 Tokens (s),average_power_watts,max_power_watts,min_power_watts,total_energy_joules,energy_per_iteration_joules,joules_per_token
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.FLOAT16,4.526067733764648,32,347.8226508748549,92.00413026809693,3.049200201034546,3.149200439453125,3.0212018489837646,0.0862832263663963,0.08341121673583984,0.1106882095336914,86.1969431400299,87.2965886592865,85.16147089004517,181.55304282655246,334.468,157.506,108705.22100000083,21741.044200000168,0.6794076312500053
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.FLOAT16,4.526067733764648,16,178.74128765264052,89.51602058410644,1.5127344608306885,1.5140726566314697,1.5119144916534424,0.08597187289485225,0.0837399959564209,0.10884881019592285,85.8859010219574,86.86426997184753,85.55476903915405,215.13862857142857,327.671,129.174,91998.86699999869,18399.773399999736,1.1499858374999836
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.FLOAT16,4.526067733764648,8,90.74752345072294,88.15720863342285,0.7667052268981933,0.7671160697937012,0.765986442565918,0.08542812837136758,0.0833897590637207,0.10507893562316895,85.34270024299622,86.1538941860199,84.82808995246887,151.63748313192346,315.547,140.562,79956.05900000036,15991.211800000072,1.998901475000009
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.FLOAT16,4.526067733764648,4,45.84830127394222,87.24525837898254,0.38595080375671387,0.38625431060791016,0.3854551315307617,0.08477502623358527,0.08290576934814453,0.11170840263366699,84.69025120735168,85.01999115943909,84.36762595176697,160.69120833333332,309.429,140.699,65920.44000001252,13184.088000002503,3.2960220000006255
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.FLOAT16,4.526067733764648,2,23.351002469266064,85.64963221549988,0.19918737411499024,0.1995077133178711,0.19901156425476074,0.08447895355530091,0.08259177207946777,0.11575627326965332,84.3944746017456,84.49500608444214,84.31000137329102,141.1135874125874,304.848,136.544,75015.51800000668,15003.103600001336,7.501551800000668
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.FLOAT16,4.526067733764648,1,11.979173512589195,83.48083472251892,0.1038658618927002,0.10411334037780762,0.10376167297363281,0.08174228439101944,0.08001971244812012,0.1049947738647461,81.66054210662841,81.86799383163452,81.39013767242432,142.03291666666667,257.18,138.446,79180.90000000596,15836.180000001192,15.836180000001193
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.NAIVE,1.1061458587646484,32,298.9974827573743,107.03145847320556,3.0314776420593263,3.0319466590881348,3.030895948410034,0.10100810959771112,0.09813737869262695,0.1387007236480713,100.9071014881134,102.16438722610474,99.92611503601074,260.8835138888889,328.097,125.013,129833.95699998736,25966.791399997473,0.811462231249921
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.NAIVE,1.1061458587646484,16,149.85884465017068,106.77227230072022,1.528014326095581,1.5288736820220947,1.526209831237793,0.10343334032847239,0.09996247291564941,0.12623023986816406,103.32990698814392,105.28480267524719,102.27879190444946,181.8469513933895,332.081,158.622,131854.73700000346,26370.947400000692,1.6481842125000432
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.NAIVE,1.1061458587646484,8,75.98755748377839,105.32086429595947,0.7831804275512695,0.7854053974151611,0.7813770771026611,0.10315013633476006,0.09926819801330566,0.12196564674377441,103.04698619842529,105.10531330108643,102.17803382873535,202.30270833333333,306.293,127.619,109908.48000000417,21981.696000000833,2.7477120000001043
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.NAIVE,1.1061458587646484,4,38.20455159998441,104.70339722633362,0.40274953842163086,0.40299463272094727,0.4024486541748047,0.10148905982245673,0.09831523895263672,0.1185603141784668,101.38757076263428,103.5008327960968,100.24257564544678,181.2561911764706,308.033,159.783,117566.96100001037,23513.392200002076,5.878348050000519
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.NAIVE,1.1061458587646484,2,19.10501742863469,104.71097369194031,0.21583566665649415,0.21592235565185547,0.21579837799072266,0.1034664441396047,0.09953022003173828,0.12848448753356934,103.36297769546509,105.4780502319336,102.1461853981018,180.8185,309.298,168.196,102894.02499999106,20578.80499999821,10.289402499999106
NVIDIA A40,microsoft/bitnet-b1.58-2B-4T,CompressedType.NAIVE,1.1061458587646484,1,10.118447402357475,98.83134894371032,0.120212984085083,0.12055087089538574,0.12000346183776855,0.09757865389307459,0.09553074836730957,0.11666035652160645,97.48107523918152,98.34086561203003,96.83872747421265,179.9116091032184,318.052,131.23,101722.16400000453,20344.432800000905,20.344432800000906
